Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	8	58_C_R_M_P_BP_B_P_D	0	1	0.101806
1	ObjOut	8	59_C_R_M_P_BP_P_B_S	0	1	0.085000
1	ObjOut	8	60_C_R_M_I_BP_P_O_D	0	1	0.022500
1	ObjOut	8	61_C_R_M_P_PB_B_P_S	0	1	0.056968
1	ObjOut	8	62_C_R_M_I_PB_B_S_D	0	1	-0.068409
1	ObjOut	8	63_C_R_M_P_PB_P_B_D	0	1	0.050387
1	ObjOut	8	64_C_R_M_I_PB_P_O_S	0	1	0.012440
1	ObjOut	8	67_T_R_M_P_SP_P_S_S	1	1	0.058533
1	ObjOut	8	68_T_R_M_I_SP_P_P_D	1	1	0.023903
1	ObjOut	8	69_T_R_M_P_PS_S_P_S	1	1	0.020387
1	ObjOut	8	70_T_R_M_I_PS_S_S_D	1	1	0.022645
1	ObjOut	8	71_T_R_M_P_PS_P_S_D	1	1	0.023667
1	ObjOut	8	72_T_R_M_I_PS_P_P_S	1	1	0.038935
1	ObjOut	8	81_T_R_M_P_OB_B_O_S	1	1	0.089839
1	ObjOut	8	82_T_R_M_I_OB_B_B_D	1	1	-0.000903
1	ObjOut	8	83_T_R_M_P_BO_O_B_S	1	1	0.015097
1	ObjOut	8	85_T_R_M_I_OB_O_O_S	1	1	0.010387
1	ObjOut	8	86_T_R_M_P_OB_O_B_D	1	1	0.007387
1	ObjOut	8	87_T_R_M_I_BO_B_B_S	1	1	0.013290
1	ObjOut	8	88_T_R_M_P_BO_B_O_D	1	1	0.025742
1	ObjOut	9	49_C_R_M_I_SO_S_B_S	0	1	0.034806
1	ObjOut	9	50_C_R_M_P_SO_S_O_D	0	1	0.040032
1	ObjOut	9	53_C_R_M_P_OS_S_O_S	0	1	-0.002065
1	ObjOut	9	56_C_R_M_I_OS_O_P_S	0	1	0.086452
1	ObjOut	9	58_C_R_M_P_BP_B_P_D	0	1	0.074806
1	ObjOut	9	59_C_R_M_P_BP_P_B_S	0	1	0.068000
1	ObjOut	9	60_C_R_M_I_BP_P_O_D	0	1	0.015500
1	ObjOut	9	61_C_R_M_P_PB_B_P_S	0	1	0.036968
1	ObjOut	9	63_C_R_M_P_PB_P_B_D	0	1	0.056387
1	ObjOut	9	64_C_R_M_I_PB_P_O_S	0	1	0.009440
1	ObjOut	9	67_T_R_M_P_SP_P_S_S	1	1	0.045533
1	ObjOut	9	68_T_R_M_I_SP_P_P_D	1	1	0.015903
1	ObjOut	9	69_T_R_M_P_PS_S_P_S	1	1	0.014387
1	ObjOut	9	70_T_R_M_I_PS_S_S_D	1	1	0.020645
1	ObjOut	9	71_T_R_M_P_PS_P_S_D	1	1	-0.124333
1	ObjOut	9	72_T_R_M_I_PS_P_P_S	1	1	0.023935
1	ObjOut	9	81_T_R_M_P_OB_B_O_S	1	1	0.078839
1	ObjOut	9	82_T_R_M_I_OB_B_B_D	1	1	-0.008903
1	ObjOut	9	83_T_R_M_P_BO_O_B_S	1	1	0.005097
1	ObjOut	9	84_T_R_M_I_BO_O_O_D	1	1	-0.059417
1	ObjOut	9	85_T_R_M_I_OB_O_O_S	1	1	0.001387
1	ObjOut	9	86_T_R_M_P_OB_O_B_D	1	1	0.002387
1	ObjOut	9	87_T_R_M_I_BO_B_B_S	1	1	0.042290
1	ObjOut	9	88_T_R_M_P_BO_B_O_D	1	1	0.032742
1	ObjOut	10	49_C_R_M_I_SO_S_B_S	0	1	0.046806
1	ObjOut	10	50_C_R_M_P_SO_S_O_D	0	1	0.038032
1	ObjOut	10	53_C_R_M_P_OS_S_O_S	0	1	-0.002065
1	ObjOut	10	56_C_R_M_I_OS_O_P_S	0	1	0.102452
1	ObjOut	10	58_C_R_M_P_BP_B_P_D	0	1	0.075806
1	ObjOut	10	59_C_R_M_P_BP_P_B_S	0	1	0.071000
1	ObjOut	10	60_C_R_M_I_BP_P_O_D	0	1	-0.018500
1	ObjOut	10	61_C_R_M_P_PB_B_P_S	0	1	0.031968
1	ObjOut	10	63_C_R_M_P_PB_P_B_D	0	1	0.052387
1	ObjOut	10	64_C_R_M_I_PB_P_O_S	0	1	-0.026560
1	ObjOut	10	65_T_R_M_I_SP_S_S_S	1	1	0.201346
1	ObjOut	10	67_T_R_M_P_SP_P_S_S	1	1	0.051533
1	ObjOut	10	68_T_R_M_I_SP_P_P_D	1	1	0.032903
1	ObjOut	10	69_T_R_M_P_PS_S_P_S	1	1	0.021387
1	ObjOut	10	70_T_R_M_I_PS_S_S_D	1	1	0.017645
1	ObjOut	10	72_T_R_M_I_PS_P_P_S	1	1	0.032935
1	ObjOut	10	81_T_R_M_P_OB_B_O_S	1	1	0.072839
1	ObjOut	10	82_T_R_M_I_OB_B_B_D	1	1	-0.001903
1	ObjOut	10	83_T_R_M_P_BO_O_B_S	1	1	0.011097
1	ObjOut	10	84_T_R_M_I_BO_O_O_D	1	1	-0.050417
1	ObjOut	10	85_T_R_M_I_OB_O_O_S	1	1	-0.007613
1	ObjOut	10	86_T_R_M_P_OB_O_B_D	1	1	0.003387
1	ObjOut	10	87_T_R_M_I_BO_B_B_S	1	1	0.072290
1	ObjOut	10	88_T_R_M_P_BO_B_O_D	1	1	0.032742
1	ObjOut	11	49_C_R_M_I_SO_S_B_S	0	1	0.032806
1	ObjOut	11	50_C_R_M_P_SO_S_O_D	0	1	0.060032
1	ObjOut	11	53_C_R_M_P_OS_S_O_S	0	1	0.005935
1	ObjOut	11	56_C_R_M_I_OS_O_P_S	0	1	0.081452
1	ObjOut	11	58_C_R_M_P_BP_B_P_D	0	1	0.079806
1	ObjOut	11	59_C_R_M_P_BP_P_B_S	0	1	0.070000
1	ObjOut	11	61_C_R_M_P_PB_B_P_S	0	1	0.030968
1	ObjOut	11	63_C_R_M_P_PB_P_B_D	0	1	0.059387
1	ObjOut	11	64_C_R_M_I_PB_P_O_S	0	1	-0.019560
1	ObjOut	11	65_T_R_M_I_SP_S_S_S	1	1	0.151346
