Participant 	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	7	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	7	80_T_H_M_I_PS_P_S_D	1	1	1293
1	ObjOut	7	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	7	92_T_H_M_I_BO_B_O_D	1	1	1318
1	ObjOut	7	93_T_H_M_I_OB_O_B_D	1	1	1323
1	ObjOut	8	17_C_H_M_P_SO_S_S_S	0	1	1329
1	ObjOut	8	18_C_H_M_I_SO_S_O_D	0	1	768
1	ObjOut	8	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	8	20_C_H_M_P_SO_O_O_D	0	1	1312
1	ObjOut	8	21_C_H_M_I_OS_S_O_S	0	1	1353
1	ObjOut	8	22_C_H_M_P_OS_S_S_D	0	1	808
1	ObjOut	8	23_C_H_M_I_OS_O_S_D	0	1	1303
1	ObjOut	8	24_C_H_M_P_OS_O_O_S	0	1	1318
1	ObjOut	8	26_C_H_M_I_BP_B_P_D	0	1	1310
1	ObjOut	8	27_C_H_M_I_BP_P_B_S	0	1	1319
1	ObjOut	8	28_C_H_M_P_BP_P_P_D	0	1	1334
1	ObjOut	8	29_C_H_M_I_PB_B_P_S	0	1	844
1	ObjOut	8	30_C_H_M_P_PB_B_B_D	0	1	834
1	ObjOut	8	31_C_H_M_I_PB_P_B_D	0	1	1341
1	ObjOut	8	32_C_H_M_P_PB_P_P_S	0	1	1355
1	ObjOut	8	73_T_H_M_I_SP_S_P_D	1	1	1328
1	ObjOut	8	74_T_H_M_I_SP_P_S_S	1	1	1295
1	ObjOut	8	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	8	80_T_H_M_I_PS_P_S_D	1	1	1299
1	ObjOut	8	91_T_H_M_I_BO_O_B_S	1	1	1254
1	ObjOut	8	92_T_H_M_I_BO_B_O_D	1	1	1325
1	ObjOut	8	93_T_H_M_I_OB_O_B_D	1	1	1325
1	ObjOut	9	17_C_H_M_P_SO_S_S_S	0	1	1329
1	ObjOut	9	18_C_H_M_I_SO_S_O_D	0	1	772
1	ObjOut	9	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	9	20_C_H_M_P_SO_O_O_D	0	1	1308
1	ObjOut	9	21_C_H_M_I_OS_S_O_S	0	1	1355
1	ObjOut	9	22_C_H_M_P_OS_S_S_D	0	1	813
1	ObjOut	9	23_C_H_M_I_OS_O_S_D	0	1	1305
1	ObjOut	9	24_C_H_M_P_OS_O_O_S	0	1	1317
1	ObjOut	9	26_C_H_M_I_BP_B_P_D	0	1	1306
1	ObjOut	9	27_C_H_M_I_BP_P_B_S	0	1	1319
1	ObjOut	9	28_C_H_M_P_BP_P_P_D	0	1	1331
1	ObjOut	9	29_C_H_M_I_PB_B_P_S	0	1	839
1	ObjOut	9	31_C_H_M_I_PB_P_B_D	0	1	1340
1	ObjOut	9	32_C_H_M_P_PB_P_P_S	0	1	1358
1	ObjOut	9	73_T_H_M_I_SP_S_P_D	1	1	1333
1	ObjOut	9	74_T_H_M_I_SP_P_S_S	1	1	1321
1	ObjOut	9	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	9	80_T_H_M_I_PS_P_S_D	1	1	1297
1	ObjOut	9	91_T_H_M_I_BO_O_B_S	1	1	1255
1	ObjOut	9	92_T_H_M_I_BO_B_O_D	1	1	1309
1	ObjOut	9	93_T_H_M_I_OB_O_B_D	1	1	1323
1	ObjOut	10	17_C_H_M_P_SO_S_S_S	0	1	1330
1	ObjOut	10	19_C_H_M_I_SO_O_S_S	0	1	1317
