Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	7	61_C_R_M_P_PB_B_P_S	0	1	1220
1	ObjOut	7	62_C_R_M_I_PB_B_S_D	0	1	1247
1	ObjOut	7	63_C_R_M_P_PB_P_B_D	0	1	1273
1	ObjOut	7	65_T_R_M_I_SP_S_S_S	1	1	1067
1	ObjOut	7	67_T_R_M_P_SP_P_S_S	1	1	805
1	ObjOut	7	68_T_R_M_I_SP_P_P_D	1	1	1348
1	ObjOut	7	69_T_R_M_P_PS_S_P_S	1	1	1299
1	ObjOut	7	70_T_R_M_I_PS_S_S_D	1	1	1288
1	ObjOut	7	71_T_R_M_P_PS_P_S_D	1	1	1305
1	ObjOut	7	72_T_R_M_I_PS_P_P_S	1	1	1280
1	ObjOut	7	81_T_R_M_P_OB_B_O_S	1	1	967
1	ObjOut	7	82_T_R_M_I_OB_B_B_D	1	1	708
1	ObjOut	7	83_T_R_M_P_BO_O_B_S	1	1	1336
1	ObjOut	7	85_T_R_M_I_OB_O_O_S	1	1	1319
1	ObjOut	7	86_T_R_M_P_OB_O_B_D	1	1	1316
1	ObjOut	7	87_T_R_M_I_BO_B_B_S	1	1	1338
1	ObjOut	7	88_T_R_M_P_BO_B_O_D	1	1	1279
1	ObjOut	8	49_C_R_M_I_SO_S_B_S	0	1	1332
1	ObjOut	8	50_C_R_M_P_SO_S_O_D	0	1	1301
1	ObjOut	8	53_C_R_M_P_OS_S_O_S	0	1	1318
1	ObjOut	8	56_C_R_M_I_OS_O_P_S	0	1	1335
1	ObjOut	8	58_C_R_M_P_BP_B_P_D	0	1	803
1	ObjOut	8	59_C_R_M_P_BP_P_B_S	0	1	1327
1	ObjOut	8	60_C_R_M_I_BP_P_O_D	0	1	1342
1	ObjOut	8	61_C_R_M_P_PB_B_P_S	0	1	1060
1	ObjOut	8	62_C_R_M_I_PB_B_S_D	0	1	1207
1	ObjOut	8	63_C_R_M_P_PB_P_B_D	0	1	1279
1	ObjOut	8	64_C_R_M_I_PB_P_O_S	0	1	982
1	ObjOut	8	67_T_R_M_P_SP_P_S_S	1	1	811
1	ObjOut	8	68_T_R_M_I_SP_P_P_D	1	1	1340
1	ObjOut	8	69_T_R_M_P_PS_S_P_S	1	1	1299
1	ObjOut	8	70_T_R_M_I_PS_S_S_D	1	1	1286
1	ObjOut	8	71_T_R_M_P_PS_P_S_D	1	1	1281
1	ObjOut	8	72_T_R_M_I_PS_P_P_S	1	1	1037
1	ObjOut	8	81_T_R_M_P_OB_B_O_S	1	1	967
1	ObjOut	8	82_T_R_M_I_OB_B_B_D	1	1	713
1	ObjOut	8	83_T_R_M_P_BO_O_B_S	1	1	1341
1	ObjOut	8	85_T_R_M_I_OB_O_O_S	1	1	1308
1	ObjOut	8	86_T_R_M_P_OB_O_B_D	1	1	1322
1	ObjOut	8	87_T_R_M_I_BO_B_B_S	1	1	1340
1	ObjOut	8	88_T_R_M_P_BO_B_O_D	1	1	1310
1	ObjOut	9	49_C_R_M_I_SO_S_B_S	0	1	1199
1	ObjOut	9	50_C_R_M_P_SO_S_O_D	0	1	1301
1	ObjOut	9	53_C_R_M_P_OS_S_O_S	0	1	1318
1	ObjOut	9	56_C_R_M_I_OS_O_P_S	0	1	1188
1	ObjOut	9	58_C_R_M_P_BP_B_P_D	0	1	681
1	ObjOut	9	59_C_R_M_P_BP_P_B_S	0	1	1329
1	ObjOut	9	60_C_R_M_I_BP_P_O_D	0	1	1341
1	ObjOut	9	61_C_R_M_P_PB_B_P_S	0	1	882
1	ObjOut	9	63_C_R_M_P_PB_P_B_D	0	1	1285
1	ObjOut	9	64_C_R_M_I_PB_P_O_S	0	1	979
1	ObjOut	9	67_T_R_M_P_SP_P_S_S	1	1	806
1	ObjOut	9	68_T_R_M_I_SP_P_P_D	1	1	1336
1	ObjOut	9	69_T_R_M_P_PS_S_P_S	1	1	1298
1	ObjOut	9	70_T_R_M_I_PS_S_S_D	1	1	1285
1	ObjOut	9	71_T_R_M_P_PS_P_S_D	1	1	1234
1	ObjOut	9	72_T_R_M_I_PS_P_P_S	1	1	843
1	ObjOut	9	81_T_R_M_P_OB_B_O_S	1	1	965
1	ObjOut	9	82_T_R_M_I_OB_B_B_D	1	1	706
1	ObjOut	9	83_T_R_M_P_BO_O_B_S	1	1	1334
1	ObjOut	9	84_T_R_M_I_BO_O_O_D	1	1	695
1	ObjOut	9	85_T_R_M_I_OB_O_O_S	1	1	1323
1	ObjOut	9	86_T_R_M_P_OB_O_B_D	1	1	1310
1	ObjOut	9	87_T_R_M_I_BO_B_B_S	1	1	1193
1	ObjOut	9	88_T_R_M_P_BO_B_O_D	1	1	1305
1	ObjOut	10	49_C_R_M_I_SO_S_B_S	0	1	983
