Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	10	07_K_H_R_I_OB_O_B_D	0	1	1292
1	ObjOut	10	08_K_H_R_P_OB_O_O_S	0	1	921
1	ObjOut	10	09_K_H_R_P_SP_S_S_S	0	1	1332
1	ObjOut	10	10_K_H_R_I_SP_S_P_D	0	1	771
1	ObjOut	10	11_K_H_L_I_SP_P_S_S	0	1	886
1	ObjOut	10	12_K_H_L_P_SP_P_P_D	0	1	938
1	ObjOut	10	13_K_H_L_I_PS_S_P_S	0	1	918
1	ObjOut	10	14_K_H_L_P_PS_S_S_D	0	1	941
1	ObjOut	10	15_K_H_R_I_PS_P_S_D	0	1	872
1	ObjOut	10	16_K_H_R_P_PS_P_P_S	0	1	1327
1	ObjOut	10	73_T_H_M_I_SP_S_P_D	1	1	1336
1	ObjOut	10	74_T_H_M_I_SP_P_S_S	1	1	1284
1	ObjOut	10	79_T_H_M_I_PS_S_P_S	1	1	1331
1	ObjOut	10	80_T_H_M_I_PS_P_S_D	1	1	1300
1	ObjOut	10	91_T_H_M_I_BO_O_B_S	1	1	1255
1	ObjOut	10	92_T_H_M_I_BO_B_O_D	1	1	1316
1	ObjOut	10	93_T_H_M_I_OB_O_B_D	1	1	1322
1	ObjOut	11	02_K_H_R_I_BO_B_O_D	0	1	1348
1	ObjOut	11	03_K_H_L_I_BO_O_B_S	0	1	940
1	ObjOut	11	04_K_H_L_P_BO_O_O_D	0	1	1050
1	ObjOut	11	05_K_H_L_I_OB_B_O_S	0	1	1335
1	ObjOut	11	06_K_H_L_P_OB_B_B_D	0	1	945
1	ObjOut	11	07_K_H_R_I_OB_O_B_D	0	1	1290
1	ObjOut	11	08_K_H_R_P_OB_O_O_S	0	1	924
1	ObjOut	11	09_K_H_R_P_SP_S_S_S	0	1	1327
1	ObjOut	11	10_K_H_R_I_SP_S_P_D	0	1	771
1	ObjOut	11	11_K_H_L_I_SP_P_S_S	0	1	886
1	ObjOut	11	12_K_H_L_P_SP_P_P_D	0	1	935
1	ObjOut	11	13_K_H_L_I_PS_S_P_S	0	1	919
1	ObjOut	11	14_K_H_L_P_PS_S_S_D	0	1	934
1	ObjOut	11	15_K_H_R_I_PS_P_S_D	0	1	877
1	ObjOut	11	16_K_H_R_P_PS_P_P_S	0	1	1325
1	ObjOut	11	73_T_H_M_I_SP_S_P_D	1	1	1335
1	ObjOut	11	74_T_H_M_I_SP_P_S_S	1	1	1303
1	ObjOut	11	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	11	80_T_H_M_I_PS_P_S_D	1	1	1298
1	ObjOut	11	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	11	92_T_H_M_I_BO_B_O_D	1	1	1320
1	ObjOut	11	93_T_H_M_I_OB_O_B_D	1	1	1322
1	ObjOut	12	02_K_H_R_I_BO_B_O_D	0	1	1342
1	ObjOut	12	03_K_H_L_I_BO_O_B_S	0	1	944
1	ObjOut	12	04_K_H_L_P_BO_O_O_D	0	1	1048
1	ObjOut	12	05_K_H_L_I_OB_B_O_S	0	1	1339
1	ObjOut	12	06_K_H_L_P_OB_B_B_D	0	1	943
1	ObjOut	12	07_K_H_R_I_OB_O_B_D	0	1	1294
1	ObjOut	12	08_K_H_R_P_OB_O_O_S	0	1	925
1	ObjOut	12	09_K_H_R_P_SP_S_S_S	0	1	1331
1	ObjOut	12	10_K_H_R_I_SP_S_P_D	0	1	769
1	ObjOut	12	11_K_H_L_I_SP_P_S_S	0	1	879
1	ObjOut	12	12_K_H_L_P_SP_P_P_D	0	1	941
1	ObjOut	12	13_K_H_L_I_PS_S_P_S	0	1	920
1	ObjOut	12	14_K_H_L_P_PS_S_S_D	0	1	930
1	ObjOut	12	15_K_H_R_I_PS_P_S_D	0	1	878
1	ObjOut	12	16_K_H_R_P_PS_P_P_S	0	1	1307
1	ObjOut	12	73_T_H_M_I_SP_S_P_D	1	1	1335
1	ObjOut	12	74_T_H_M_I_SP_P_S_S	1	1	1301
1	ObjOut	12	79_T_H_M_I_PS_S_P_S	1	1	1169
1	ObjOut	12	80_T_H_M_I_PS_P_S_D	1	1	1300
1	ObjOut	12	91_T_H_M_I_BO_O_B_S	1	1	1258
1	ObjOut	12	92_T_H_M_I_BO_B_O_D	1	1	1314
1	ObjOut	12	93_T_H_M_I_OB_O_B_D	1	1	1322
